country,accessibility and disability,animals,children,civil rights,coronavirus,culture,economic justice,elderly,entertainment,environment,familly,family,government and politics,healthcare,human rights,justice,local issues,lockdown,other,safety,school,sport,students,transport,vaccines,women rights,work
BE,,,,,10,,,,,,,,,,,,,,,,,,,,,,
CH,,,,,28,,,,,,,,,19,,,,,,,6,,,,,,
DE,,,,,6,,,,,,,,,,,,,,,,,,,,,,
ES,,,,11,118,,7,,,,,,13,78,,,8,,,,22,,,,11,,
FR,,6,,14,124,,14,13,,,,,14,82,,,,26,,11,20,,,,7,,
GB,6,,,33,266,,36,,,,,,61,150,,,30,33,17,,39,,,,,,
IE,,,,,16,,,,,,,,,12,,,,,,,,,,,,,
IT,8,10,13,127,858,31,168,,31,17,,65,14,471,,21,156,7,10,11,121,24,,10,17,6,72
RU,,,,9,55,,15,,,,,,,24,,,,,,,6,,,,,,
SE,,,,,7,,,,,,,,,,,,,,,,7,,,,,,
TR,,8,8,60,795,,144,,18,,7,9,,255,10,7,31,24,21,7,227,,140,,11,7,79
